Groupe 12967 red
Point 4.17169 2.06262 red
Point 4.1413 2.03979 red
Point 4.08449 2.05763 red
Point 4.04908 2.02223 red
Point 4.03348 2.01819 red
Point 4.01417 1.97392 red
Point 3.97432 1.98435 red
Point 3.9668 1.97673 red
Point 3.95572 1.97029 red
Point 3.93828 1.91815 red
Point 3.89469 1.9067 red
Point 3.89031 1.90234 red
Point 3.8513 1.76534 red
Point 3.85516 1.7825 red
Point 3.87276 1.72545 red
Point 3.84372 1.66358 red
Point 3.8434 1.68683 red
Point 3.87339 1.61462 red
Point 3.89523 1.46815 red
Point 3.94295 1.35313 red
Point 3.93675 1.28073 red
Point 3.92819 1.22463 red
Point 3.98568 1.15408 red
Point 3.9786 1.07906 red
Point 3.95664 1.11356 red
Point 3.98157 1.0112 red
Point 4.02946 0.975566 red
Point 4.01303 0.884226 red
Point 4.03316 0.777504 red
Point 4.0819 0.729956 red
Point 4.11361 0.466268 red
Point 4.10433 0.176913 red
Point 4.05681 0.080938 red
Point 4.00836 -0.12934 red
Point 3.94487 -0.21867 red
Point 3.83665 -0.40653 red
Point 3.75407 -0.47031 red
Point 3.71273 -0.59374 red
Point 3.60946 -0.63941 red
Point 3.50845 -0.66026 red
Point 3.43521 -0.77045 red
Point 3.32277 -0.79536 red
Point 3.11703 -0.86755 red
Point 3.06863 -0.79961 red
Point 2.99043 -0.87067 red
Point 2.89528 -0.81031 red
Point 2.84323 -0.87072 red
Point 2.78485 -0.86544 red
Point 2.74494 -0.79427 red
Point 2.64445 -0.83616 red
Point 2.58357 -0.75161 red
Point 2.44893 -0.70016 red
Point 2.33999 -0.70908 red
Point 2.31341 -0.61529 red
Point 2.19526 -0.53514 red
Point 2.08446 -0.51298 red
Point 2.09129 -0.41839 red
Point 1.99057 -0.31076 red
Point 1.88368 -0.25608 red
Point 1.84826 -0.03408 red
Point 1.77143 0.164789 red
Point 1.78787 0.26148 red
Point 1.72532 0.361173 red
Point 1.75557 0.456349 red
Point 1.78991 0.536675 red
Point 1.74602 0.637326 red
Point 1.78286 0.723108 red
Point 1.79264 0.883548 red
Point 1.83035 0.968398 red
Point 1.8481 1.10546 red
Point 1.88275 1.19328 red
Point 1.92811 1.39435 red
Point 1.9754 1.43855 red
Point 1.98071 1.49671 red
Point 1.95711 1.56192 red
Point 1.99495 1.6023 red
Point 1.99468 1.64573 red
